ALPHA_CODE,EQUITY_NAME,YEAR,WEEK,ACTUAL_CLOSE,ACTUAL_VOLUME,MARKET_CAP,DIV_YIELD,PE_RATIO,EQUITY_STATUS
AFE,A E C I LTD ORD,2012,1,575," 42,363 "," 889,334,174 ",10.0869,4.752,C
AFE,A E C I LTD ORD,2012,2,715," 33,834 "," 1,105,867,712 ",8.1118,5.909,C
AFE,A E C I LTD ORD,2012,3,715," 23,563 "," 1,105,867,712 ",8.1118,5.909,C
AFE,A E C I LTD ORD,2012,4,630," 7,828 "," 974,400,921 ",9.2063,5.2066,C
AFE,A E C I LTD ORD,2012,5,650," 39,019 "," 1,005,334,284 ",8.923,5.3719,C
AFE,A E C I LTD ORD,2012,6,650," 90,283 "," 1,005,334,284 ",8.923,5.3719,C
AFE,A E C I LTD ORD,2012,7,750," 167,474 "," 1,160,001,097 ",7.7333,7.0754,C
AFE,A E C I LTD ORD,2012,8,800," 168,418 "," 1,237,334,504 ",7.25,7.5471,C
AFE,A E C I LTD ORD,2012,9,850," 248,577 "," 1,314,667,910 ",6.8235,8.0188,C
AFE,A E C I LTD ORD,2012,10,830," 744,005 "," 1,283,734,547 ",6.9879,7.8301,C
AFE,A E C I LTD ORD,2012,11,875," 12,300 "," 1,353,334,613 ",6.6285,8.2547,C
AFE,A E C I LTD ORD,2012,12,900," 51,163 "," 1,392,001,317 ",6.4444,8.4905,C
AFE,A E C I LTD ORD,2012,13,950," 18,900 "," 1,469,334,723 ",6.1052,8.9622,C
AFE,A E C I LTD ORD,2012,14,950," 28,870 "," 1,469,334,723 ",6.1052,8.9622,C
AFE,A E C I LTD ORD,2012,15,975," 22,920 "," 1,508,001,426 ",5.9487,9.1981,C
AFE,A E C I LTD ORD,2012,16,975," 23,688 "," 1,508,001,426 ",5.9487,9.1981,C
AFE,A E C I LTD ORD,2012,17,1000," 21,515 "," 1,546,668,130 ",5.8,9.4339,C
AFE,A E C I LTD ORD,2012,18,1025," 35,533 "," 1,585,334,833 ",5.6585,9.6698,C
AFE,A E C I LTD ORD,2012,19,1050," 11,950 "," 1,624,001,536 ",5.5238,9.9056,C
AFE,A E C I LTD ORD,2012,20,1150," 4,700 "," 1,778,668,349 ",5.0434,10.849,C
AFE,A E C I LTD ORD,2012,21,1100," 35,712 "," 1,701,334,943 ",5.2727,10.3773,C
AFE,A E C I LTD ORD,2012,22,1075," 8,800 "," 1,662,668,239 ",5.3953,10.1415,C
AFE,A E C I LTD ORD,2012,23,950," 42,360 "," 1,469,334,723 ",6.1052,8.9622,C
AFE,A E C I LTD ORD,2012,24,1100," 101,700 "," 1,701,334,943 ",5.2727,10.3773,C
AFE,A E C I LTD ORD,2012,25,1125," 15,010 "," 1,740,001,646 ",5.1555,10.6132,C
AFE,A E C I LTD ORD,2012,26,1130," 55,510 "," 1,747,734,986 ",5.1327,10.6603,C
AFE,A E C I LTD ORD,2012,27,1130," 76,470 "," 1,747,734,986 ",5.1327,10.6603,C
AFE,A E C I LTD ORD,2012,28,1130," 8,043 "," 1,747,734,986 ",5.1327,10.6603,C
AFE,A E C I LTD ORD,2012,29,1115," 48,400 "," 1,724,534,964 ",5.2017,10.5188,C
AFE,A E C I LTD ORD,2012,30,1200," 11,528 "," 1,856,001,756 ",4.8333,9.836,C
AFE,A E C I LTD ORD,2012,31,1150," 119,600 "," 1,778,668,349 ",5.0434,9.4262,C
AFE,A E C I LTD ORD,2012,32,1150," 416,825 "," 1,778,668,349 ",5.0434,9.4262,C
AFE,A E C I LTD ORD,2012,33,1200," 9,327 "," 1,856,001,756 ",4.8333,9.836,C
AFE,A E C I LTD ORD,2012,34,1225," 21,094 "," 1,894,668,459 ",4.7346,10.0409,C
AFE,A E C I LTD ORD,2012,35,1225," 25,847 "," 1,894,668,459 ",4.7346,10.0409,C
AFE,A E C I LTD ORD,2012,36,1225," 13,134 "," 1,894,668,459 ",4.7346,10.0409,C
AFE,A E C I LTD ORD,2012,37,1225," 7,441 "," 1,894,668,459 ",4.7346,10.0409,C
AFE,A E C I LTD ORD,2012,38,1150," 30,753 "," 1,778,668,349 ",5.0434,9.4262,C
AFE,A E C I LTD ORD,2012,39,1150," 46,900 "," 1,778,668,349 ",5.0434,9.4262,C
AFE,A E C I LTD ORD,2012,40,1175," 67,437 "," 1,817,335,052 ",4.9361,9.6311,C
AFE,A E C I LTD ORD,2012,41,1250," 77,062 "," 1,933,335,162 ",4.64,10.2459,C
AFE,A E C I LTD ORD,2012,42,1300," 61,000 "," 2,010,668,569 ",4.4615,10.6557,C
AFE,A E C I LTD ORD,2012,43,1425," 112,200 "," 2,204,002,085 ",4.0701,11.6803,C
