ALPHA_CODE,EQUITY_NAME,YEAR,WEEK,ACTUAL_CLOSE,ACTUAL_VOLUME,MARKET_CAP,DIV_YIELD,PE_RATIO,EQUITY_STATUS,
AFE,A E C I LTD ORD,2010,1,1310,25300,202613525030,6,64,6,8229, 
AFE,A E C I LTD ORD,2010,2,1300,65563,201066856900,6,69,6,7708, 
AFE,A E C I LTD ORD,2010,3,1280,20610,197973520640,6,79,6,6666, 
AFE,A E C I LTD ORD,2010,4,1400,10701,216533538200,6,21,7,2916, 
AFE,A E C I LTD ORD,2010,5,1350,15163,208800197550,6,44,7,0312, 
AFE,A E C I LTD ORD,2010,6,1350,31650,208800197550,6,44,7,0312, 
AFE,A E C I LTD ORD,2010,7,1425,32510,220400208525,6,1,7,4218, 
AFE,A E C I LTD ORD,2010,8,1425,20850,220400208525,6,1,9,2532, 
AFE,A E C I LTD ORD,2010,9,1425,55568,220400208525,6,1,9,2532, 
AFE,A E C I LTD ORD,2010,10,1450,144770,224266878850,6,9,4155, 
AFE,A E C I LTD ORD,2010,11,1550,178260,239733560150,5,61,10,0649, 
AFE,A E C I LTD ORD,2010,12,1525,20825,235866889825,5,7,9,9025, 
AFE,A E C I LTD ORD,2010,13,1475,5000,228133549175,5,89,9,5779, 
AFE,A E C I LTD ORD,2010,14,1475,11740,228133549175,5,89,9,5779, 
AFE,A E C I LTD ORD,2010,15,1425,17883,220400208525,6,1,9,2532, 
AFE,A E C I LTD ORD,2010,16,1425,463100,220400208525,6,1,9,2532, 
AFE,A E C I LTD ORD,2010,17,1385,222060,214213536005,6,28,8,9935, 
AFE,A E C I LTD ORD,2010,18,1350,29358,208800197550,6,44,8,7662, 
AFE,A E C I LTD ORD,2010,19,1300,61436,201066856900,6,69,8,4415, 
AFE,A E C I LTD ORD,2010,20,1200,130327,185600175600,7,25,7,7922, 
AFE,A E C I LTD ORD,2010,21,1300,335810,201066856900,6,69,8,4415, 
AFE,A E C I LTD ORD,2010,22,1300,212452,201066856900,6,69,8,4415, 
AFE,A E C I LTD ORD,2010,23,1350,108777,208800197550,6,44,8,7662, 
AFE,A E C I LTD ORD,2010,24,1405,177699,217306872265,6,19,9,1233, 
AFE,A E C I LTD ORD,2010,25,1450,98348,224266878850,6,9,4155, 
AFE,A E C I LTD ORD,2010,26,1350,8700,208800197550,6,44,8,7662, 
AFE,A E C I LTD ORD,2010,27,1285,224682,198746854705,6,77,8,3441, 
AFE,A E C I LTD ORD,2010,28,1325,72283,204933527225,6,56,8,6038, 
AFE,A E C I LTD ORD,2010,29,1275,24899,197200186575,6,82,8,2792, 
AFE,A E C I LTD ORD,2010,30,1200,76386,185600175600,6,25,10,6194, 
AFE,A E C I LTD ORD,2010,31,1200,20194,185600175600,6,25,10,6194, 
AFE,A E C I LTD ORD,2010,32,1185,25625,183280173405,6,32,10,4867, 
AFE,A E C I LTD ORD,2010,33,1125,156890,174000164625,6,66,9,9557, 
AFE,A E C I LTD ORD,2010,34,1075,516962,166266823975,6,97,9,5132, 
AFE,A E C I LTD ORD,2010,35,1050,63365,162400153650,7,14,9,292, 
AFE,A E C I LTD ORD,2010,36,1050,11083,162400153650,7,14,9,292, 
AFE,A E C I LTD ORD,2010,37,1085,20550,167813492105,6,91,9,6017, 
AFE,A E C I LTD ORD,2010,38,1100,80831,170133494300,6,81,9,7345, 
AFE,A E C I LTD ORD,2010,39,1070,28121,165493489910,7,9,469, 
AFE,A E C I LTD ORD,2010,40,1060,21281,163946821780,7,07,9,3805, 
AFE,A E C I LTD ORD,2010,41,1050,15500,162400153650,7,14,9,292, 
AFE,A E C I LTD ORD,2010,42,1050,41890,162400153650,7,14,9,292, 
AFE,A E C I LTD ORD,2010,43,1075,11828,166266823975,6,97,9,5132, 
AFE,A E C I LTD ORD,2010,44,1080,14806,167040158040,6,94,9,5575, 
AFE,A E C I LTD ORD,2010,45,1060,16769,163946821780,7,07,9,3805, 
AFE,A E C I LTD ORD,2010,46,975,117173,150800142675,7,69,8,6283, 
AFE,A E C I LTD ORD,2010,47,935,56967,144613470155,8,02,8,2743, 
AFE,A E C I LTD ORD,2010,48,900,63879,139200131700,8,33,7,9646, 
AFE,A E C I LTD ORD,2010,49,875,48375,135333461375,8,57,7,7433, 
AFE,A E C I LTD ORD,2010,50,925,37201,143066802025,8,1,8,1858, 
AFE,A E C I LTD ORD,2010,51,900,14176,139200131700,8,33,7,9646, 
AFE,A E C I LTD ORD,2010,52,900,1200,139200131700,8,33,7,9646, 
AFE,A E C I LTD ORD,2011,1,900,8043,139200131700,8,33,7,9646, 
ABA,ABACUS IND HLDGS LTD ORD,2010,1,35,1000,5678958355,0,0, 
ABA,ABACUS IND HLDGS LTD ORD,2010,2,35,10000,5678958355,0,0, 
ABA,ABACUS IND HLDGS LTD ORD,2010,3,25,1560750,4056398825,0,0, 
ABA,ABACUS IND HLDGS LTD ORD,2010,4,37,150000,6003470261,0,0, 
