ALPHA_CODE,EQUITY_NAME,YEAR,WEEK,ACTUAL_CLOSE,ACTUAL_VOLUME,MARKET_CAP,DIV_YIELD,PE_RATIO,EQUITY_STATUS
AFE,A E C I LTD ORD,2010,1,1310," 25,300 "," 202,613,525,030 ",6.64,6.8229,C
AFE,A E C I LTD ORD,2010,2,1300," 65,563 "," 201,066,856,900 ",6.69,6.7708,C
AFE,A E C I LTD ORD,2010,3,1280," 20,610 "," 197,973,520,640 ",6.79,6.6666,C
AFE,A E C I LTD ORD,2010,4,1400," 10,701 "," 216,533,538,200 ",6.21,7.2916,C
AFE,A E C I LTD ORD,2010,5,1350," 15,163 "," 208,800,197,550 ",6.44,7.0312,C
AFE,A E C I LTD ORD,2010,6,1350," 31,650 "," 208,800,197,550 ",6.44,7.0312,C
AFE,A E C I LTD ORD,2010,7,1425," 32,510 "," 220,400,208,525 ",6.1,7.4218,C
AFE,A E C I LTD ORD,2010,8,1425," 20,850 "," 220,400,208,525 ",6.1,9.2532,C
AFE,A E C I LTD ORD,2010,9,1425," 55,568 "," 220,400,208,525 ",6.1,9.2532,C
AFE,A E C I LTD ORD,2010,10,1450," 144,770 "," 224,266,878,850 ",6,9.4155,C
AFE,A E C I LTD ORD,2010,11,1550," 178,260 "," 239,733,560,150 ",5.61,10.0649,C
AFE,A E C I LTD ORD,2010,12,1525," 20,825 "," 235,866,889,825 ",5.7,9.9025,C
AFE,A E C I LTD ORD,2010,13,1475," 5,000 "," 228,133,549,175 ",5.89,9.5779,C
AFE,A E C I LTD ORD,2010,14,1475," 11,740 "," 228,133,549,175 ",5.89,9.5779,C
AFE,A E C I LTD ORD,2010,15,1425," 17,883 "," 220,400,208,525 ",6.1,9.2532,C
AFE,A E C I LTD ORD,2010,16,1425," 463,100 "," 220,400,208,525 ",6.1,9.2532,C
AFE,A E C I LTD ORD,2010,17,1385," 222,060 "," 214,213,536,005 ",6.28,8.9935,C
AFE,A E C I LTD ORD,2010,18,1350," 29,358 "," 208,800,197,550 ",6.44,8.7662,C
AFE,A E C I LTD ORD,2010,19,1300," 61,436 "," 201,066,856,900 ",6.69,8.4415,C
AFE,A E C I LTD ORD,2010,20,1200," 130,327 "," 185,600,175,600 ",7.25,7.7922,C
AFE,A E C I LTD ORD,2010,21,1300," 335,810 "," 201,066,856,900 ",6.69,8.4415,C
AFE,A E C I LTD ORD,2010,22,1300," 212,452 "," 201,066,856,900 ",6.69,8.4415,C
AFE,A E C I LTD ORD,2010,23,1350," 108,777 "," 208,800,197,550 ",6.44,8.7662,C
AFE,A E C I LTD ORD,2010,24,1405," 177,699 "," 217,306,872,265 ",6.19,9.1233,C
AFE,A E C I LTD ORD,2010,25,1450," 98,348 "," 224,266,878,850 ",6,9.4155,C
AFE,A E C I LTD ORD,2010,26,1350," 8,700 "," 208,800,197,550 ",6.44,8.7662,C
AFE,A E C I LTD ORD,2010,27,1285," 224,682 "," 198,746,854,705 ",6.77,8.3441,C
AFE,A E C I LTD ORD,2010,28,1325," 72,283 "," 204,933,527,225 ",6.56,8.6038,C
AFE,A E C I LTD ORD,2010,29,1275," 24,899 "," 197,200,186,575 ",6.82,8.2792,C
AFE,A E C I LTD ORD,2010,30,1200," 76,386 "," 185,600,175,600 ",6.25,10.6194,C
AFE,A E C I LTD ORD,2010,31,1200," 20,194 "," 185,600,175,600 ",6.25,10.6194,C
AFE,A E C I LTD ORD,2010,32,1185," 25,625 "," 183,280,173,405 ",6.32,10.4867,C
AFE,A E C I LTD ORD,2010,33,1125," 156,890 "," 174,000,164,625 ",6.66,9.9557,C
AFE,A E C I LTD ORD,2010,34,1075," 516,962 "," 166,266,823,975 ",6.97,9.5132,C
AFE,A E C I LTD ORD,2010,35,1050," 63,365 "," 162,400,153,650 ",7.14,9.292,C
AFE,A E C I LTD ORD,2010,36,1050," 11,083 "," 162,400,153,650 ",7.14,9.292,C
AFE,A E C I LTD ORD,2010,37,1085," 20,550 "," 167,813,492,105 ",6.91,9.6017,C
AFE,A E C I LTD ORD,2010,38,1100," 80,831 "," 170,133,494,300 ",6.81,9.7345,C
AFE,A E C I LTD ORD,2010,39,1070," 28,121 "," 165,493,489,910 ",7,9.469,C
AFE,A E C I LTD ORD,2010,40,1060," 21,281 "," 163,946,821,780 ",7.07,9.3805,C
AFE,A E C I LTD ORD,2010,41,1050," 15,500 "," 162,400,153,650 ",7.14,9.292,C
AFE,A E C I LTD ORD,2010,42,1050," 41,890 "," 162,400,153,650 ",7.14,9.292,C
AFE,A E C I LTD ORD,2010,43,1075," 11,828 "," 166,266,823,975 ",6.97,9.5132,C
AFE,A E C I LTD ORD,2010,44,1080," 14,806 "," 167,040,158,040 ",6.94,9.5575,C
AFE,A E C I LTD ORD,2010,45,1060," 16,769 "," 163,946,821,780 ",7.07,9.3805,C
AFE,A E C I LTD ORD,2010,46,975," 117,173 "," 150,800,142,675 ",7.69,8.6283,C
AFE,A E C I LTD ORD,2010,47,935," 56,967 "," 144,613,470,155 ",8.02,8.2743,C
AFE,A E C I LTD ORD,2010,48,900," 63,879 "," 139,200,131,700 ",8.33,7.9646,C
AFE,A E C I LTD ORD,2010,49,875," 48,375 "," 135,333,461,375 ",8.57,7.7433,C
AFE,A E C I LTD ORD,2010,50,925," 37,201 "," 143,066,802,025 ",8.1,8.1858,C
AFE,A E C I LTD ORD,2010,51,900," 14,176 "," 139,200,131,700 ",8.33,7.9646,C
AFE,A E C I LTD ORD,2010,52,900," 1,200 "," 139,200,131,700 ",8.33,7.9646,C
AFE,A E C I LTD ORD,2010,53,900," 8,043 "," 139,200,131,700 ",8.33,7.9646,C
ABA,ABACUS IND HLDGS LTD ORD,2010,1,35," 1,000 "," 5,678,958,355 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,2,35," 10,000 "," 5,678,958,355 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,3,25," 1,560,750 "," 4,056,398,825 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,4,37," 150,000 "," 6,003,470,261 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,5,35," 234,900 "," 5,678,958,355 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,6,35, -   ," 5,678,958,355 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,7,40," 172,652 "," 6,490,238,120 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,8,40," 198,000 "," 6,490,238,120 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,9,35," 81,600 "," 5,678,958,355 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,10,35," 23,000 "," 4,557,040,250 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,11,35," 20,800 "," 4,557,040,250 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,12,35," 29,000 "," 4,557,040,250 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,13,50," 293,900 "," 6,510,057,500 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,14,50," 166,200 "," 6,510,057,500 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,15,50," 8,000 "," 6,510,057,500 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,16,50," 34,400 "," 6,510,057,500 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,17,50," 101,600 "," 6,510,057,500 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,18,40," 5,000 "," 5,208,046,000 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,19,35," 31,900 "," 863,876,930 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,20,35," 16,390 "," 863,876,930 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,21,35," 13,500 "," 863,876,930 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,22,30," 25,800 "," 740,465,940 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,23,30," 68,466 "," 740,465,940 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,24,30," 43,800 "," 740,465,940 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,25,30," 12,570 "," 740,465,940 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,26,30," 8,100 "," 740,465,940 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,27,25," 12,100 "," 617,054,950 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,28,23," 4,000 "," 567,690,554 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,29,20," 39,800 "," 493,643,960 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,30,20," 75,525 "," 493,643,960 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,31,20," 14,900 "," 493,643,960 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,32,18," 23,000 "," 444,279,564 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,33,15," 113,700 "," 370,232,970 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,34,15," 15,200 "," 370,232,970 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,35,15," 96,900 "," 370,232,970 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,36,15," 59,125 "," 370,232,970 ",0,0,T
ABA,ABACUS IND HLDGS LTD ORD,2010,37,20," 32,000 "," 493,643,960 ",0,0,T
